"2019/S 015-032762;MK;22/01/2019"
"2019/S 027-059582;FR;07/02/2019"
"2019/S 033-073727;GR;15/02/2019"
"2019/S 036-080671;FR;20/02/2019"
"2019/S 052-118886;RO;14/03/2019"
"2019/S 056-128922;LU;20/03/2019"
"2019/S 057-131006;PT;21/03/2019"
"2019/S 078-185719;IE;19/04/2019"
"2019/S 092-221548;BE;14/05/2019"
"2019/S 104-251638;SI;31/05/2019"
"2019/S 169-412724;ES;03/09/2019"
"2019/S 181-440168;RO;19/09/2019"
"2019/S 187-453897;PL;27/09/2019"
"2019/S 193-468127;LV;07/10/2019"
"2019/S 193-468037;FR;07/10/2019"
"2019/S 208-506894;SI;28/10/2019"
"2019/S 214-525124;UK;06/11/2019"
"2019/S 215-527015;PT;07/11/2019"
"2019/S 245-602403;FR;19/12/2019"
"2020/S 010-018881;IT;15/01/2020"
"2020/S 050-119884;UK;11/03/2020"
"2020/S 058-138207;LU;23/03/2020"
"2020/S 076-179438;FR;17/04/2020"
"2020/S 103-247888;RO;28/05/2020"
"2020/S 113-273569;BE;12/06/2020"
"2020/S 142-350744;NO;24/07/2020"
"2020/S 144-353629;GR;28/07/2020"
"2020/S 169-408692;GR;01/09/2020"
"2020/S 177-425042;ES;11/09/2020"
"2020/S 185-446084;GR;23/09/2020"
"2020/S 187-449299;ES;25/09/2020"
"2020/S 188-453408;PT;28/09/2020"
"2020/S 188-453503;ES;28/09/2020"
"2020/S 188-453485;LV;28/09/2020"
"2020/S 192-461241;SI;02/10/2020"
"2020/S 193-466011;PL;05/10/2020"
"2020/S 195-471085;ES;07/10/2020"
"2020/S 195-471084;ES;07/10/2020"
"2020/S 200-486691;UK;14/10/2020"
"2020/S 205-498137;LV;21/10/2020"
"2020/S 208-507250;FR;26/10/2020"
"2020/S 212-515954;GR;30/10/2020"
"2020/S 212-515899;ES;30/10/2020"
"2020/S 222-544985;FI;13/11/2020"
"2020/S 233-574663;FR;30/11/2020"
"2020/S 244-605781;MK;15/12/2020"
"2021/S 002-002365;GR;05/01/2021"
"2021/S 028-068665;ES;10/02/2021"
"2021/S 033-081750;FR;17/02/2021"
"2021/S 050-123293;PT;12/03/2021"
"2021/S 052-130981;IE;16/03/2021"
"2021/S 053-132637;LU;17/03/2021"
"2021/S 080-205273;GR;26/04/2021"
"2021/S 121-318160;PL;25/06/2021"
"2021/S 131-345647;BE;09/07/2021"
"2021/S 155-410554;IE;12/08/2021"
"2021/S 171-444724;LV;03/09/2021"
"2021/S 179-465557;GR;15/09/2021"
"2021/S 181-468807;ES;17/09/2021"
"2021/S 186-481687;FR;24/09/2021"
"2021/S 191-494129;PL;01/10/2021"
"2021/S 208-543812;PL;26/10/2021"
"2021/S 218-573342;PT;10/11/2021"
"2021/S 227-596969;PL;23/11/2021"
"2021/S 252-669363;GR;28/12/2021"
"2022/S 003-004444;GR;05/01/2022"
"2022/S 018-043000;FR;26/01/2022"
"2022/S 018-042823;ES;26/01/2022"
"2022/S 030-074183;LU;11/02/2022"
"2022/S 066-173861;PL;04/04/2022"
"2022/S 067-176653;IE;05/04/2022"
"2022/S 072-191669;IT;12/04/2022"
"2022/S 096-264896;BE;18/05/2022"
"2022/S 098-268173;NL;20/05/2022"
"2022/S 098-268242;GR;20/05/2022"
"2022/S 104-291184;RO;31/05/2022"
"2022/S 107-296442;PL;03/06/2022"
"2022/S 107-296213;PT;03/06/2022"
"2022/S 127-360571;IT;05/07/2022"
"2022/S 136-388350;ES;18/07/2022"
"2022/S 146-417291;RO;01/08/2022"
"2022/S 151-431478;PT;08/08/2022"
"2022/S 157-449607;BG;17/08/2022"
"2022/S 164-463911;PL;26/08/2022"
"2022/S 186-525917;PL;27/09/2022"
"2022/S 197-560971;MK;12/10/2022"
"2022/S 211-606503;PL;02/11/2022"
"2022/S 218-627687;GR;11/11/2022"
"2022/S 224-645326;GR;21/11/2022"
"2022/S 245-708202;GR;20/12/2022"
"2022/S 245-707596;IT;20/12/2022"
"2023/S 010-020963;ES;13/01/2023"
"2023/S 010-023621;ES;13/01/2023"
"2023/S 015-039058;PT;20/01/2023"
"2023/S 016-043027;LU;23/01/2023"
"2023/S 030-089079;RO;10/02/2023"
"2023/S 032-093847;ES;14/02/2023"
"2023/S 038-110906;FR;22/02/2023"
"2023/S 041-119653;NO;27/02/2023"
"2023/S 045-129286;FR;03/03/2023"
"2023/S 058-170311;FR;22/03/2023"
"2023/S 081-245293;PL;25/04/2023"
"2023/S 085-262061;GR;02/05/2023"
"2023/S 089-275496;DE;08/05/2023"
"2023/S 096-295563;PL;19/05/2023"
